Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Education,IQ,Performance
0.275281,-0.586101,46,1.29625,-0.0988043,7,74,42.6954
0.0758179,-1.03673,36,-0.831228,0.961197,7,85,31.6757
0.2288,1.46773,37,-3.12621,0.105553,13,113,37.4726
0.308833,-0.746973,49,0.848409,-1.00382,12,85,47.6213
0.182319,0.131206,52,-0.194886,-0.129841,8,64,37.608
0.634806,0.674951,53,1.03966,0.138593,13,101,58.1433
0.288758,-0.664422,43,1.23255,0.107501,15,103,55.7883
-0.819027,0.228477,45,-1.04508,2.23351,10,95,47.6605
-0.659208,1.13959,57,3.60199,0.679742,16,108,55.5717
-0.894918,1.63666,42,0.372317,-0.765938,15,116,49.2383
-0.621769,-0.694754,65,-0.479622,-0.172966,15,116,65.5215
0.562965,0.68342,47,0.522103,-0.139797,13,76,42.2318
0.530476,-0.15769,42,-0.426497,0.866381,13,85,46.4356
0.385898,0.771334,72,0.350333,-1.63136,13,92,61.9756
-0.959173,-0.431807,60,1.9002,-0.186477,15,106,57.026
0.347468,-0.983468,55,0.540874,0.481514,14,113,59.3536
-1.58745,0.0436111,45,-0.999357,-0.737556,18,110,53.7878
-0.305432,1.01793,60,2.09924,-1.82152,20,102,62.5302
-0.277781,-0.761601,48,-0.539779,-0.643307,12,90,40.9218
-0.6332,0.487668,69,-0.478544,0.904673,16,129,74.2193
-0.0439749,0.950481,46,-1.86129,-0.868191,13,74,44.4941
0.741252,-0.778177,38,-0.766734,0.0809508,11,105,33.6789
0.622136,0.290988,39,0.674742,0.352284,10,100,43.1514
2.22669,0.740958,29,-0.236068,-0.931879,10,86,35.3504
0.511197,-1.27314,57,-0.264902,1.46017,16,92,63.3923
-1.22752,1.24867,47,0.147831,-0.53735,11,73,38.9492
1.84636,0.851479,60,1.12777,-0.85794,16,122,68.8367
0.986165,1.14525,62,-0.980693,0.983072,13,91,58.7269
0.568253,-0.537433,57,-1.27466,0.743726,14,97,58.2121
0.148209,-1.46353,68,1.50881,-0.0562497,14,106,68.517
0.76094,2.80473,57,-1.86859,-0.227302,15,111,61.7312
0.318028,0.779036,49,-0.160066,-1.53616,10,97,51.0515
1.21826,-0.249837,54,0.593646,0.49245,16,120,57.1256
2.21787,-0.0234132,63,-1.06959,0.498892,15,106,67.583
-0.0772879,-1.02743,27,0.0445955,-0.317021,8,87,24.4266
-1.25285,-0.388719,31,0.195667,-0.966976,11,97,35.2445
-1.22503,-0.417972,50,0.850199,0.166078,11,109,54.3697
1.02326,-1.26023,49,-0.470432,-0.747315,17,110,54.3294
1.24019,1.07497,48,-1.35355,-1.08363,12,100,44.8678
0.884698,0.207912,38,0.00808256,-1.75503,10,87,39.0525
-0.92658,-0.617905,63,0.949493,0.631143,12,84,53.1844
1.21396,-1.41244,49,-0.429412,0.475487,11,95,45.8044
0.827757,-0.621896,39,-1.59853,1.1732,14,111,47.0987
0.426299,-1.0856,53,-1.21325,0.26408,17,114,57.5302
0.784286,-0.528577,33,0.177559,-0.688084,11,90,30.1596
0.785463,-1.30696,50,-1.93837,-0.543232,14,80,53.4011
0.869981,0.828095,49,-0.0441599,1.00331,11,1115,41.81
-0.39955,0.00242193,52,-0.892559,-0.0126047,15,123,54.3893
1.54933,-2.15189,48,-0.423842,0.807528,14,101,47.9934
-0.564073,-0.0890592,59,-2.62773,1.45045,14,105,58.6258
-0.608559,1.21424,47,0.921423,-1.48362,12,115,43.076
-2.29289,0.929829,63,-0.0956915,-0.190883,13,117,67.1512
-2.72761,1.22165,47,0.458205,-1.0933,15,83,53.5032
0.378236,3.01494,44,-0.0926408,0.579795,16,124,42.7336
-0.698091,-0.132175,59,-0.292751,0.304918,13,104,62.5586
-0.414765,0.0157238,53,0.107774,-0.00655258,16,109,60.3647
-0.771242,0.684124,51,0.747355,-1.9229,12,89,47.7615
0.106155,0.479554,58,-0.432028,0.597452,12,76,45.761
-1.9622,0.882074,74,-0.684889,-1.20346,18,93,76.1491
-0.295271,-0.226065,43,1.20208,0.337142,10,79,37.3998
-1.08931,-3.28752,54,0.618419,0.556882,14,97,57.9633
-0.876273,0.366696,35,-0.969976,-0.97304,11,121,42.1508
0.0428462,-1.00648,41,-0.686537,0.0782907,13,105,41.6696
0.999151,-0.174337,39,-0.480712,1.17215,10,88,31.2311
-3.15902,-2.43179,51,1.1491,-0.642865,15,114,58.6366
-0.592772,0.0474575,40,0.125292,-0.578037,12,97,45.8311
0.818421,-2.0088,55,2.09285,0.480162,14,117,56.6049
0.579568,-1.16104,47,0.571813,-1.17368,14,106,49.2362
0.106787,-0.903329,46,-0.597623,1.77137,17,115,46.8847
-0.174585,-0.902447,44,0.841368,-1.15464,14,96,51.8677
-0.249775,-0.871491,28,1.01841,-0.220832,7,88,31.6841
-0.821037,1.09428,68,-1.22171,0.267793,17,125,67.5913
-0.0626915,1.09635,70,-0.453466,-1.09711,15,112,71.6944
-0.754705,-0.44277,60,-1.07152,-0.345724,13,102,60.4709
-0.0948782,-0.31018,40,-0.488071,1.00039,11,108,48.4559
-0.166435,-0.218234,37,-1.98543,-0.286259,7,62,28.9798
0.935604,-1.24883,44,-0.231412,-1.13062,13,83,37.756
-0.329006,0.0536651,46,-0.459793,0.0591594,12,106,48.865
-0.94195,-0.722322,61,-0.0377244,-1.13916,15,112,61.0528
-1.47409,0.14593,63,-3.3355,-0.093429,16,116,64.4999
-1.48136,0.972807,71,0.376991,0.102052,13,81,55.8176
-0.969118,0.515219,65,1.88892,-0.304958,12,113,57.1933
0.520569,-0.206014,50,0.503595,1.04792,17,112,51.867
0.179615,1.00226,49,-0.153542,-1.22662,13,89,49.9572
-1.48322,-2.79329,18,0.579236,0.654257,11,117,21.1816
0.21407,-0.461818,60,-0.574018,-0.845474,13,100,55.3837
-0.293332,-0.945844,45,0.396847,0.899579,15,113,48.5471
-1.06561,-0.0420313,49,-0.639196,0.080442,16,115,48.1106
0.21959,-1.54044,57,0.444872,-0.311423,16,115,56.1063
0.340963,-0.0436306,53,-0.540245,0.705398,18,133,57.4879
0.460527,1.20723,56,0.524956,-0.676676,14,101,55.663
-0.231193,-0.895077,42,-1.20782,0.694037,15,121,45.0924
0.956573,-0.336239,55,-0.697614,0.0845925,17,125,55.2552
1.41963,0.694993,62,-1.1862,0.893237,17,92,63.237
1.65818,-2.38053,47,0.367447,0.888371,10,93,45.0767
-0.0439352,0.40153,55,0.249619,-0.771492,10,100,57.3055
-1.3921,0.405198,51,1.12702,-0.289085,12,98,54.5398
-1.37301,0.0704823,59,-0.995469,1.05833,11,58,41.1914
0.0532923,-0.883317,45,0.461273,0.678758,15,101,43.9817
-0.284784,-2.63222,38,-1.01337,0.476429,15,116,37.4175
0.0875912,-1.77254,54,1.17715,-0.327252,15,129,62.4288
0.232879,-0.222552,44,-0.203781,-1.30072,12,145,41.942
-1.42094,1.47268,79,1.95609,-0.201171,15,110,82.4106
0.483482,0.451528,53,0.106959,0.0149713,16,90,54.9322
-0.00637982,1.43854,53,0.682986,-0.222696,15,110,62.5094
-0.867899,0.160843,33,-0.25403,0.0593736,16,122,33.769
0.604691,0.4521,38,1.61429,2.26271,18,136,44.5247
-0.178554,0.725264,53,-0.389569,0.0975407,12,95,54.3126
0.830124,-2.0661,37,-1.61732,1.86102,10,100,41.7372
0.333437,-0.756552,42,-0.804956,-1.33644,10,105,41.7385
0.0175684,1.49195,36,-1.08473,-0.956672,11,88,33.3942
1.9415,-0.795198,31,1.04754,-0.539349,14,101,27.2683
0.72662,1.86743,58,0.891473,0.42458,16,132,59.6478
-0.304649,-0.55541,57,-0.457201,-0.335305,14,102,64.6459
1.30308,1.27809,51,-0.584786,-0.381019,15,94,51.1706
-0.3831,-0.294154,39,-0.55092,0.702379,11,66,37.2584
-0.822881,-0.847797,48,-0.768315,-0.532101,17,129,54.4916
-1.01552,-0.325756,63,-0.434914,1.64644,16,87,63.0987
0.886514,-0.935228,56,-0.265678,-0.657173,13,109,56.1834
0.669026,-1.26354,39,-1.67142,0.925407,13,100,45.4693
-0.791522,0.281271,43,0.449656,-1.92081,11,93,40.0927
-0.139288,-0.347725,48,-1.63662,0.6149,13,118,50.4683
0.317147,0.45776,46,-0.789795,-1.34016,12,114,48.3395
-1.10054,0.0161318,51,0.821935,0.10081,14,112,55.0326
-1.03196,0.964046,49,0.763734,-0.211515,14,94,57.0044
1.60183,-0.964666,40,0.0230471,-0.824277,11,109,44.4027
-0.0286471,-2.66216,40,0.416105,-0.0125965,13,92,39.557
-0.823957,1.72265,62,0.50962,0.241929,15,119,65.9365
0.0809395,-1.17626,63,-1.74227,0.298148,14,93,51.3661
0.724386,1.45791,66,0.682337,-0.638243,14,84,60.1351
1.08692,-1.62494,61,1.22123,1.11183,12,72,50.883
-0.24739,-1.59056,46,0.324795,0.478472,11,110,45.6782
-1.02839,-1.82369,52,0.997187,-1.47238,7,83,33.112
0.987576,1.46546,73,-0.228669,0.0484739,13,101,67.5483
0.683057,0.378405,51,-0.532328,-0.631927,11,108,44.5034
0.0271961,-0.722436,50,0.610991,-0.0751871,16,103,59.7235
0.398653,-0.472798,64,-0.249087,2.73188,15,84,59.0423
0.982294,0.226123,64,-0.488593,-0.155392,11,87,54.1621
-0.639322,-0.38717,49,0.112602,0.959978,15,110,59.9437
-1.92234,-1.73695,58,0.553399,-1.10474,16,126,58.7832
0.146528,0.810196,42,-0.866938,-1.17604,12,82,46.5679
-0.328785,1.98185,53,0.141613,0.0830327,10,93,51.3858
-0.153257,0.811248,44,0.566026,1.03168,14,92,45.2236
-0.431558,1.20116,48,0.131043,-1.3205,14,106,53.8633
-0.40253,-1.36115,41,0.343467,-0.814577,11,101,40.6897
-1.46348,-0.382926,54,-2.41076,-0.339534,11,80,47.9534
1.28185,0.17533,51,0.213483,1.42881,11,110,46.7378
-0.460389,0.76472,54,-0.56761,0.974461,11,82,49.4574
-0.638994,-0.147762,44,1.33785,-2.07839,10,87,37.2264
1.03414,-0.380553,32,0.0377017,0.29175,11,105,38.0594
0.0641733,-1.08104,47,-0.976911,-1.65047,16,116,56.2871
0.949385,-0.101684,41,0.690337,-0.480849,13,76,37.0004
-1.5765,-0.853601,62,1.86355,0.621566,19,118,61.3222
-1.89351,1.75579,44,0.0865861,-1.06562,17,98,47.8167
-1.61749,0.184802,56,-0.40397,0.0513663,12,89,50.5062
0.161155,0.304782,43,-1.5547,-1.35899,13,90,35.84
-0.594687,2.12008,60,0.098082,0.372517,12,109,54.8322
-1.04232,0.815342,50,1.0254,-1.92244,13,89,50.2131
-0.0053607,-0.782495,72,2.36074,0.137996,13,88,58.564
2.86198,0.316392,50,-0.767122,1.88779,11,97,54.2883
-0.903199,-0.880563,44,1.34181,-0.158829,16,108,50.3611
-1.46369,0.306447,42,0.568466,0.00874132,14,110,45.3047
-0.802027,0.767693,59,-0.0432942,0.0667351,15,117,54.3399
-0.126253,-1.21003,57,0.118379,1.07325,15,129,63.4188
0.768798,0.328376,50,0.595039,0.794011,13,99,53.3671
0.268174,-1.06506,50,-1.68301,1.72219,12,97,49.6563
2.30505,-0.290486,52,-0.260803,1.89697,15,72,50.4507
0.976817,-1.64033,51,-0.561345,-0.557622,10,106,47.3792
1.58941,-0.345074,42,1.28135,0.236119,13,86,41.8577
-0.607929,0.891173,42,-0.377191,-0.296176,10,96,37.7471
1.43733,-0.0150508,47,0.11151,-0.940163,15,106,51.7926
-0.601758,-1.42048,39,1.91,0.618278,13,80,41.906
0.0466757,0.272847,52,-0.10326,0.779873,9,79,47.4016
-0.367612,-0.386964,41,0.343792,-2.63066,12,99,46.49
0.160934,0.0373875,59,0.20323,0.159238,14,78,57.9706
1.62045,0.587345,40,0.419144,0.892635,16,101,43.1874
-0.600605,-0.570931,44,1.07419,-1.65879,10,92,41.6732
-0.071083,0.451438,48,-0.911257,-0.136689,14,114,49.432
0.0300292,1.14827,73,-0.33583,0.826448,11,87,67.6652
0.268637,0.874625,55,1.75529,0.855551,14,97,57.7233
1.43971,-0.577071,38,1.08152,0.92174,14,117,40.8894
0.417391,-0.91432,54,2.76656,-0.468241,17,124,68.4272
-2.33076,1.64235,50,-1.03837,0.468225,16,92,46.0795
2.34064,1.44817,59,0.416612,-0.466497,17,138,67.1208
0.970592,0.517266,60,-0.0852317,0.804184,14,99,57.4445
0.562945,0.226121,37,1.08132,0.202288,12,111,39.0224
0.621971,-0.926527,50,-0.388345,-0.526119,16,116,51.7142
1.43658,0.026292,49,-1.91761,-0.00133711,13,82,50.7557
0.229437,0.00627912,49,1.06099,0.321875,14,107,52.2936
0.464575,1.15631,61,-0.326382,1.6235,14,109,66.7186
-1.93579,1.34656,59,-0.452395,-1.02816,17,115,63.6203
-1.34737,0.174872,63,-0.202566,-0.223831,11,104,62.261
-0.611652,0.469724,58,-0.373618,0.115045,16,119,68.0229
-0.626207,0.729582,45,0.715311,-0.0880431,11,107,33.858
0.224798,-0.0966058,53,1.15024,-0.754209,10,93,55.503
-0.695675,-0.75056,45,0.360928,-0.232687,12,98,57.4085
-1.08089,-1.09066,36,0.857263,-0.570771,11,99,43.9177
0.579938,-0.0589206,37,0.497609,0.651383,13,112,40.0906
1.21639,0.157906,74,-0.0932569,-0.0554461,16,101,72.4172
-2.75796,-0.163762,38,1.59253,0.825295,15,144,37.7425
-0.31081,-0.154268,47,-1.454,0.511873,16,90,51.3143
1.34986,0.706775,44,-0.298031,0.31351,11,112,44.9487
-0.0229068,0.866318,62,-1.13731,1.45469,17,104,55.647
-0.177981,-0.59236,51,0.062246,-1.2861,15,97,51.9895
-1.30526,-0.131291,50,-0.688233,0.421363,11,94,47.0052
-1.54308,-0.0260871,59,-0.281172,0.92892,17,119,62.4277
0.0341172,-0.456887,35,0.749159,0.274871,11,103,27.9796
-0.0532554,0.30912,46,-0.296586,0.678684,11,106,47.7853
0.287905,1.44864,71,-1.05908,2.1642,17,124,74.4321
0.135671,0.17638,49,0.771889,1.64311,10,93,49.8293
1.65309,1.14778,52,1.19258,1.00669,15,112,46.6323
-1.49588,-0.658334,63,-0.143138,0.292746,17,106,70.1691
-0.599668,-0.628326,54,1.69563,1.65755,14,98,53.7254
-1.32109,-0.520309,67,-2.15987,0.152313,11,92,62.1459
-0.119201,0.441057,53,0.408391,0.155486,12,88,55.012
-0.60735,-1.06451,37,-0.0148529,2.05527,12,115,39.3262
-0.749605,-0.551813,56,-0.947205,0.190887,9,55,40.5842
-0.767733,2.41916,36,0.931709,-0.868716,10,110,28.6793
-0.276176,1.4103,43,1.26018,1.30718,15,103,40.8143
-0.433694,0.502216,38,0.476935,0.265535,13,100,44.492
-1.95347,2.54799,64,1.22919,-0.535408,11,106,64.9417
-0.343766,-1.09821,56,0.999912,-1.57922,14,100,57.8583
-0.723777,2.32401,66,-0.0372075,0.604582,11,83,56.6756
0.331468,-0.0471235,61,0.91725,0.365893,20,112,64.5907
0.0591756,2.07837,38,1.85179,-0.610512,8,116,33.0124
-1.52276,-0.932271,59,-0.321149,-0.642211,16,102,66.2103
0.123317,-1.17863,53,1.09736,-0.256721,13,106,49.8459
-0.286614,-2.1975,42,0.113038,1.05003,13,106,48.2661
0.334962,0.228136,41,-0.0457859,0.29483,11,91,45.8571
0.524423,0.353288,42,0.304862,0.86865,11,73,37.0188
0.415938,0.525169,36,0.311882,0.364916,14,113,33.3861
-0.346706,0.775788,32,-2.18751,0.453914,11,83,36.2235
0.175839,-1.64675,48,-0.313449,-0.494708,13,114,53.051
0.383284,0.148552,38,-0.42314,-0.358468,10,97,41.2444
0.318453,1.35378,52,1.65918,-0.456049,14,98,55.2764
-0.136446,0.358471,65,-0.669996,0.938159,12,92,66.3061
-0.995161,0.624027,58,0.273552,-0.347157,15,119,62.5273
-0.496246,-0.680544,61,-1.04405,-1.37696,17,108,62.8904
0.527377,0.147858,77,-0.199386,0.992048,11,100,72.8898
-1.23856,0.479682,44,0.0949837,-0.979081,14,88,46.1117
-1.48763,-1.46588,49,0.18287,-0.504083,15,118,54.4922
0.518697,-0.154914,41,-1.46441,0.947759,8,70,35.7349
0.998651,0.387497,46,-1.29042,0.762123,12,108,45.0542
0.425894,-0.0199936,43,-0.892189,0.273804,12,122,44.0667
-0.321874,-0.783252,38,-0.968562,-0.383855,8,76,32.5338
0.857574,0.654219,35,1.47752,-0.0656425,12,86,42.3417
2.91417,1.02836,54,-0.38115,0.0174372,13,97,56.2142
-0.476989,0.0476764,52,-1.14717,0.175541,13,98,53.9776
1.52472,-0.664498,57,1.26001,-0.2557,8,93,54.0658
0.342987,1.80239,46,-0.693625,2.63744,12,106,48.0727
1.10397,1.10582,47,0.40423,-0.232615,13,94,47.5634
1.14893,1.40207,50,1.91119,0.450253,13,103,57.6602
-0.874091,-1.52514,55,1.77453,-0.678143,13,105,56.0755
-0.0963669,2.02223,62,0.353346,-0.110703,16,103,67.6134
-1.91625,-1.23322,55,0.781138,0.561419,13,104,53.3512
-0.421331,-0.802737,69,0.468972,-0.648983,12,77,60.4533
-0.138841,-0.07643,38,-0.168201,0.842918,12,81,35.1765
1.70554,-0.140137,46,-1.38282,0.345158,11,99,50.7994
-0.213677,0.203659,64,-1.31188,-0.515964,14,88,61.6
1.9195,1.05648,54,0.854488,0.0629351,12,83,48.4612
-0.687509,-1.21055,52,0.451667,-2.06755,11,68,49.8474
-2.00367,0.87826,67,-0.372791,0.0967569,15,109,68.4794
0.407268,1.35066,61,0.543926,0.475521,13,109,57.9042
