Treatment,LD,Reading Decoding,Reading Fluency,Reading Comprehension
Intervention,Dyslexia,92.55614722,11.01830253,50.58493915
Intervention,Dyslexia,83.56369841,10.68305597,39.4137244
Intervention,Normal,107.0858811,11.65899327,55.41250147
Control,Normal,136.0419079,12.4269927,73.84782674
Control,Normal,107.4925329,11.41914375,55.39808604
Control,Dyslexia,71.64845643,14.0113995,53.69552154
Intervention,Normal,94.40800156,7.635569056,45.388208
Intervention,Normal,92.66593917,9.321568166,54.76680513
Control,Dyslexia,69.10204366,-3.334209889,27.68356579
Intervention,Dyslexia,81.26630259,11.42460191,39.53798491
Intervention,Normal,90.91484838,14.92877054,59.96043789
Control,Normal,77.76200505,7.397799753,31.4039606
Control,Dyslexia,86.04248493,2.437606029,34.89687537
Control,Dyslexia,89.11036964,5.964884154,44.43972724
Control,Dyslexia,88.71344103,6.971274989,43.67547973
Intervention,Dyslexia,95.28000697,9.092975836,48.04125407
Intervention,Normal,83.9613571,10.4507882,45.00455033
Intervention,Dyslexia,85.69085663,8.15108479,38.42352463
Intervention,Normal,125.5497675,14.8460258,71.7010424
Control,Dyslexia,75.94175727,5.095806992,35.3393686
Control,Normal,101.81157,15.81248608,50.23198411
Intervention,Dyslexia,103.9281138,10.69287684,55.51217592
Control,Dyslexia,69.62535037,9.367032017,38.42183144
Intervention,Normal,88.92860971,13.15859475,51.45061126
Intervention,Normal,95.23229806,8.731708451,66.83476564
Control,Normal,123.6429672,12.87487389,67.51422008
Control,Normal,104.4762207,7.889010991,53.56845396
Intervention,Normal,95.81684691,13.30057496,52.24807717
Control,Normal,113.6390579,13.16827209,52.54522192
Control,Dyslexia,84.25887673,2.88749365,35.57183083
Intervention,Dyslexia,85.66481782,5.747533644,28.03123826
Intervention,Normal,94.27211017,9.779637596,49.32965266
Control,Dyslexia,63.85037186,8.828795373,43.20451862
Control,Normal,109.1519451,13.22703241,60.63435341
Control,Dyslexia,82.85790999,10.49079529,41.20927545
Intervention,Dyslexia,70.41422488,8.203676915,39.57436108
Control,Normal,126.9926387,10.57714565,60.63583812
Control,Dyslexia,75.679939,5.637658008,37.06526581
Intervention,Normal,111.8599098,11.42578835,50.68270816
Control,Dyslexia,91.19250533,9.868161239,45.34444483
Control,Dyslexia,82.38860941,8.79611824,38.86756749
Control,Dyslexia,88.88127997,6.451635962,49.82146004
Control,Dyslexia,78.92430651,9.248014962,48.75570645
Intervention,Dyslexia,77.01030521,9.702793804,46.14420516
Intervention,Normal,103.5494442,9.94526925,48.91954572
Intervention,Dyslexia,93.85502109,7.856320602,45.91366846
Intervention,Dyslexia,90.80204438,10.79498277,47.17483332
Control,Normal,105.3724529,11.47581656,55.6788214
Control,Dyslexia,68.14503647,9.699353072,46.14531418
Control,Normal,88.24710358,7.123802141,33.11155222
Control,Normal,80.59391208,12.80994877,49.49372295
Control,Normal,107.4672781,12.74895652,51.00695969
Control,Normal,115.4468158,13.58505938,51.09171136
Intervention,Dyslexia,87.26206322,10.15697621,36.01654917
Intervention,Dyslexia,86.56997076,10.30123244,39.53703057
Control,Normal,106.4937554,9.874910068,54.95688313
Control,Dyslexia,67.20391897,5.065274246,29.6771192
Intervention,Dyslexia,88.02881362,5.533211736,45.01045378
Control,Normal,88.51588815,6.552453121,39.8127332
Intervention,Dyslexia,91.23136477,12.61380085,44.69567473
Intervention,Dyslexia,72.91440668,11.3458744,33.36385555
Control,Normal,101.4777533,10.04992606,54.79340642
Control,Normal,104.2912706,13.73548341,60.79647131
Control,Normal,109.1343102,9.222785336,57.72812905
Intervention,Normal,98.54505934,11.16193406,54.80384184
Control,Normal,114.9966146,17.36076746,59.39447362
Control,Dyslexia,75.67734623,8.246072089,40.78050457
Intervention,Dyslexia,103.1925329,10.16066619,51.23682272
Intervention,Dyslexia,82.42307966,9.533969092,46.80069848
Control,Normal,78.50294271,10.92327492,43.73935529
Intervention,Dyslexia,82.3880238,5.988875041,43.35971501
Intervention,Dyslexia,93.9532682,12.29592805,36.42484969
Intervention,Dyslexia,85.95426281,9.308618686,47.49803764
Intervention,Dyslexia,103.3221705,9.57252207,52.59456341
Control,Dyslexia,71.2003287,6.346914683,47.03011264
Control,Dyslexia,74.58754788,2.479046847,36.69100111
Intervention,Dyslexia,96.21107017,8.623974211,61.22351577
Control,Dyslexia,78.07206667,5.898617465,32.01030301
Control,Normal,89.2769183,11.26476608,45.3135224
Intervention,Normal,118.1273786,9.169429921,57.78261303
Control,Normal,84.44505416,8.997280002,54.36559906
Control,Dyslexia,80.64477331,11.06859407,46.98368029
Control,Dyslexia,86.52725302,7.713529005,44.0173924
Control,Dyslexia,92.26074243,8.273433947,44.46698215
Control,Normal,81.82701802,9.089335462,45.59383964
Intervention,Normal,122.4991162,13.51179389,67.64714287
Intervention,Normal,106.4548651,15.78361206,59.57630184
Control,Dyslexia,67.17069136,5.259914722,32.26196972
Intervention,Dyslexia,100.4585193,7.737596362,37.91873239
Intervention,Dyslexia,80.825038,4.204254712,45.20406582
Intervention,Dyslexia,112.8344902,16.21986642,64.77881571
Intervention,Dyslexia,78.90820072,10.139709,34.83182744
Control,Normal,92.43483197,8.447102202,41.6568632
Intervention,Dyslexia,91.36929664,9.661191544,43.95537426
Control,Normal,104.3253262,11.11250563,52.46915462
