"","School","Instructions","Hours"
"89","Wesleyan","Technical",0
"90","Wesleyan","No Instructions",0.983656280453238
"91","Wesleyan","Technical",0.956152649173643
"92","ISU","Technical",3.94212969850133
"93","Unspecified","Emotional",7.15810904318315
"94","ISU","Technical",1.15406613104409
"95","Unspecified","Technical",1.07029810044384
"96","Wesleyan","Emotional",0
"97","Wesleyan","Emotional",1.92593760156231
"98","Wesleyan","Emotional",0
"99","Unspecified","No Instructions",4.97039363374821
"100","ISU","Technical",0.855705027511842
"101","Wesleyan","No Instructions",1.99728083465898
"102","Wesleyan","Technical",0
"103","Wesleyan","No Instructions",0.90089218419258
"104","Wesleyan","No Instructions",1.00041939858649
"105","Wesleyan","Technical",0
"106","Wesleyan","Emotional",0
"107","Unspecified","No Instructions",5.98697453513668
"108","ISU","Emotional",5.01550927876532
"109","Unspecified","No Instructions",3.12773415519807
"110","ISU","Technical",7.10535482122839
"111","Unspecified","Emotional",2.96282834537235
"112","Wesleyan","No Instructions",0
"113","ISU","Emotional",4.24980736060963
"114","Unspecified","No Instructions",4.92227391339879
"115","Wesleyan","Technical",0
"116","Wesleyan","Emotional",2.00225450352783
"117","Wesleyan","Emotional",0
"118","Unspecified","Technical",1.91108837839709
"119","ISU","No Instructions",8.93916302780402
"120","Unspecified","No Instructions",3.9786937095736
"121","Wesleyan","Technical",0
"122","Wesleyan","No Instructions",4.04663884742775
"123","Wesleyan","Emotional",0
"124","ISU","No Instructions",1.1923396212312
"125","Unspecified","Emotional",3.94609964356895
"126","ISU","No Instructions",4.96137211989104
"127","Unspecified","Emotional",3.91381923341196
"128","ISU","No Instructions",5.95979934165964
"129","Wesleyan","Emotional",3.05989628196134
"130","ISU","No Instructions",3.00818372816078
"131","Unspecified","No Instructions",3.03310257556659
"132","Unspecified","Emotional",1.95387530640864
"133","Unspecified","Technical",1.0359039240309
"134","Wesleyan","Technical",0.948420882065085
"135","Unspecified","Technical",2.05872762234662
"136","Wesleyan","Emotional",1.1619611026162
"137","Unspecified","Emotional",9.04452312291918
"138","Unspecified","Technical",1.12552612015603
"139","Unspecified","Emotional",5.942509335078
"140","Unspecified","Emotional",2.03160894878077
"141","Unspecified","Technical",0
"142","Wesleyan","Emotional",3.23721013197035
"143","ISU","Emotional",7.09765798698008
"144","Wesleyan","Technical",0
"145","ISU","No Instructions",4.96847373459201
"146","Unspecified","Emotional",5.02310379494877
"147","ISU","No Instructions",3.2075480090806
"148","Unspecified","Technical",0.0652684898496121
"149","ISU","Emotional",6.99626037018845
"150","Unspecified","Emotional",1.92936084926278
"151","ISU","No Instructions",1.8772168295053
"152","Unspecified","Emotional",6.0134158450598
"153","ISU","Technical",3.96267665108348
"154","ISU","Emotional",10.003906037524
"155","ISU","Emotional",5.01431243228378
"156","Unspecified","Technical",3.01049472513634
"157","Wesleyan","Technical",1.06021957415535
"158","Unspecified","Emotional",7.98816045064102
"159","Unspecified","Emotional",1.05591695429867
"160","Unspecified","No Instructions",4.00418613784155
"161","Wesleyan","No Instructions",0
"162","Unspecified","No Instructions",9.14662036944248
"163","Wesleyan","Emotional",6.95273691315557
"164","Wesleyan","Technical",0
"165","Wesleyan","Technical",0.0306350163390104
"166","Wesleyan","Emotional",6.07925762183437
"167","Wesleyan","Technical",0
"168","Unspecified","Technical",0
"169","ISU","No Instructions",2.96598895922965
"170","Wesleyan","No Instructions",1.15310074986935
"171","Wesleyan","Emotional",2.03894033888393
"172","Unspecified","Emotional",5.04959819802851
"173","Wesleyan","Technical",0
"174","Unspecified","Technical",1.99562352274599
"175","Wesleyan","Technical",0.864313127141644
"176","Unspecified","Emotional",6.05914393941965
"177","ISU","Technical",0.801170276338629
"178","Wesleyan","Technical",0
"179","Unspecified","Emotional",2.92712174892019
"180","Unspecified","Emotional",0.977939230827388
"181","Unspecified","Technical",0
"182","ISU","Technical",3.09926521444715
"183","ISU","Technical",2.99267321631711
"184","Unspecified","Emotional",2.99882559824777
"185","Unspecified","Emotional",2.10048726356127
"186","Unspecified","Emotional",2.0253343429456
"187","Wesleyan","No Instructions",0
"188","ISU","No Instructions",6.91985930415186
"189","Unspecified","Technical",1.1180854435071
"190","ISU","No Instructions",4.08229147176299
"191","ISU","No Instructions",5.09488900810835
"192","Unspecified","Emotional",4.87478034562112
"193","Unspecified","Emotional",4.84130252490101
"194","Unspecified","Emotional",3.99784231013446
"195","ISU","Technical",0.883259807608362
"196","Wesleyan","Emotional",2.94516225671015
"197","ISU","Emotional",3.89588791274853
"198","Unspecified","Emotional",4.0014790039409
"199","Wesleyan","No Instructions",2.84106006663103
"200","Wesleyan","Emotional",0.882288449922543
"201","Unspecified","Emotional",3.0786037381336
"202","Unspecified","Technical",1.18980149382032
"203","Unspecified","Emotional",5.9586201933528
"204","Wesleyan","Emotional",3.06776653013773
"205","Wesleyan","Emotional",0.914275469490649
"206","Unspecified","No Instructions",1.98789413453626
"207","ISU","Technical",5.92828294281546
"208","ISU","Technical",1.95392774923549
"209","Wesleyan","Technical",1.99459692716754
"210","Wesleyan","Emotional",3.1848213849967
"211","ISU","Emotional",6.05799736350379
"212","Wesleyan","No Instructions",0
"213","Unspecified","Emotional",5.09692474299133
"214","Wesleyan","No Instructions",0.103892647604678
"215","Unspecified","No Instructions",6.93749993041437
"216","Wesleyan","Emotional",7.99423099193552
"217","Unspecified","Technical",0.915603682423888
"218","Unspecified","Emotional",3.01875532130682
"219","Wesleyan","Technical",0
"220","ISU","No Instructions",2.81942029197688
"221","Wesleyan","Emotional",0.982832265371446
"222","Wesleyan","No Instructions",0
"223","Unspecified","Emotional",0.999653965652723
"224","Unspecified","Emotional",3.99206258289161
"225","Unspecified","No Instructions",4.98040684319345
"226","ISU","Emotional",3.83295267012515
"227","Unspecified","No Instructions",3.90698511916369
"228","ISU","No Instructions",4.92467430550757
"229","ISU","No Instructions",3.98882961798115
"230","Unspecified","No Instructions",2.95293070121853
"231","Unspecified","No Instructions",4.91340759836301
"232","Unspecified","Emotional",1.84287556250341
"233","ISU","Emotional",3.05310695114972
"234","Wesleyan","No Instructions",0.961392700191882
"235","Unspecified","Technical",0.855635015174557
"236","Wesleyan","No Instructions",0
"237","Unspecified","Emotional",3.03756376067005
"238","ISU","Technical",1.90071299833963
"239","Wesleyan","No Instructions",0
"240","Wesleyan","No Instructions",0
"241","ISU","No Instructions",0.999481014124891
"242","ISU","Technical",2.9864493568321
"243","Unspecified","Technical",2.12993083239702
"244","Unspecified","Technical",0
"245","Unspecified","Technical",1.12119188916066
"246","Wesleyan","No Instructions",0
"247","Wesleyan","Emotional",5.03380149519971
"248","Unspecified","Emotional",5.14366194044266
"249","Unspecified","Technical",0
"250","ISU","Technical",2.92535110127415
"251","Unspecified","No Instructions",6.13431231835646
"252","ISU","Technical",2.98146054163995
"253","Unspecified","No Instructions",4.0972601129717
"254","Unspecified","No Instructions",2.09211634997087
"255","Wesleyan","No Instructions",0
"256","Wesleyan","Emotional",2.85649822081271
"257","ISU","No Instructions",4.1051052657519
"258","Unspecified","Emotional",4.22405947407498
"259","Unspecified","No Instructions",6.0700383460458
"260","Wesleyan","Emotional",2.88269189040033
"261","ISU","No Instructions",4.95049929987646
"262","ISU","Technical",4.02786765829016
"263","Unspecified","No Instructions",3.07157130943313
"264","ISU","No Instructions",2.7836707010609
"265","Unspecified","Emotional",3.95479962878451
"266","ISU","Emotional",7.90247102144255
"267","Wesleyan","Emotional",2.94633039219653
"268","Wesleyan","No Instructions",0.0308387520067809
"269","Unspecified","Technical",3.04217937937209
"270","Wesleyan","Technical",0
"271","ISU","Emotional",1.90136052596927
"272","Unspecified","No Instructions",5.93334876167901
"273","Unspecified","Technical",2.0254288428955
"274","Wesleyan","No Instructions",0
"275","Unspecified","No Instructions",2.03629506684968
"276","Unspecified","Technical",0.0751903822286895
"277","Wesleyan","Technical",1.90610404046072
"278","Wesleyan","Emotional",6.96878048573903
"279","Unspecified","No Instructions",0.991882249632984
"280","Wesleyan","No Instructions",1.06210391938669
"281","ISU","Emotional",4.03736385837708
"282","Unspecified","Technical",0.957626325536283
"283","ISU","No Instructions",7.9710878264574
"284","Wesleyan","Technical",0
"285","Wesleyan","Emotional",3.09187119710138
"286","ISU","No Instructions",4.10170490047941
"287","Wesleyan","Technical",0
"288","ISU","Technical",5.13614973333316
"289","Unspecified","Emotional",4.97761954584963
"290","ISU","Technical",5.06014453133096
"291","Wesleyan","Technical",0
"292","Wesleyan","Technical",1.06139005039494
"293","ISU","Technical",1.10570122283091
"294","Wesleyan","Technical",0
"295","Unspecified","Emotional",2.06459386569476
"296","Unspecified","No Instructions",2.03482272202192
"297","Wesleyan","Emotional",0.894813731096022
"298","ISU","No Instructions",1.04999390638039
"299","ISU","Emotional",3.98656461265482
"300","Wesleyan","Technical",1.87816658292606
